input,output,type,IE
"Hawking was a research student, still tenderfoot by scientific standards.","hawking was a research student, still wet behind the ears by scientific standards.",idiom,wet behind the ears
"Terry, it turned out, was just out of university and new.","terry, it turned out, was just out of university and wet behind the ears.",idiom,wet behind the ears
"Terry, it turned out, was just out of university and inexperienced.","terry, it turned out, was just out of university and wet behind the ears.",idiom,wet behind the ears
"Terry, it turned out, was just out of university and tenderfoot.","terry, it turned out, was just out of university and wet behind the ears.",idiom,wet behind the ears
"The song is all about how he felt as a small town, new kid coming to la for the first time.","the song is all about how he felt as a small town, wet behind the ears kid coming to la for the first time.",idiom,wet behind the ears
"The song is all about how he felt as a small town, inexperienced kid coming to la for the first time.","the song is all about how he felt as a small town, wet behind the ears kid coming to la for the first time.",idiom,wet behind the ears
"The song is all about how he felt as a small town, callow kid coming to la for the first time.","the song is all about how he felt as a small town, wet behind the ears kid coming to la for the first time.",idiom,wet behind the ears
"The song is all about how he felt as a small town, naive kid coming to la for the first time.","the song is all about how he felt as a small town, wet behind the ears kid coming to la for the first time.",idiom,wet behind the ears
"The song is all about how he felt as a small town, tenderfoot kid coming to la for the first time.","the song is all about how he felt as a small town, wet behind the ears kid coming to la for the first time.",idiom,wet behind the ears
"The CEO cheated his clients out of nearly $4 million, but he got his retribution when he was stripped of everything he owned and sent to prison.","the ceo cheated his clients out of nearly $4 million, but he got his just deserts when he was stripped of everything he owned and sent to prison.",idiom,just deserts
"The CEO cheated his clients out of nearly $4 million, but he got his comeuppance when he was stripped of everything he owned and sent to prison.","the ceo cheated his clients out of nearly $4 million, but he got his just deserts when he was stripped of everything he owned and sent to prison.",idiom,just deserts
"The CEO cheated his clients out of nearly $4 million, but he got his karma when he was stripped of everything he owned and sent to prison.","the ceo cheated his clients out of nearly $4 million, but he got his just deserts when he was stripped of everything he owned and sent to prison.",idiom,just deserts
Some people felt sympathy for the humbled superstar. Others felt she was getting the retribution of an actress with a reputation for being difficult.,some people felt sympathy for the humbled superstar. others felt she was getting the just deserts of an actress with a reputation for being difficult.,idiom,just deserts
Some people felt sympathy for the humbled superstar. Others felt she was getting what is deserved of an actress with a reputation for being difficult.,some people felt sympathy for the humbled superstar. others felt she was getting the just deserts of an actress with a reputation for being difficult.,idiom,just deserts
Some people felt sympathy for the humbled superstar. Others felt she was getting the comeuppance of an actress with a reputation for being difficult.,some people felt sympathy for the humbled superstar. others felt she was getting the just deserts of an actress with a reputation for being difficult.,idiom,just deserts
Some people felt sympathy for the humbled superstar. Others felt she was getting the karma of an actress with a reputation for being difficult.,some people felt sympathy for the humbled superstar. others felt she was getting the just deserts of an actress with a reputation for being difficult.,idiom,just deserts
Many said the man who once headed a £4 billion empire had received his retribution.,many said the man who once headed a £4 billion empire had received his just deserts.,idiom,just deserts
Many said the man who once headed a £4 billion empire had received his what is deserved.,many said the man who once headed a £4 billion empire had received his just deserts.,idiom,just deserts
Many said the man who once headed a £4 billion empire had received his comeuppance.,many said the man who once headed a £4 billion empire had received his just deserts.,idiom,just deserts
Many said the man who once headed a £4 billion empire had received his karma.,many said the man who once headed a £4 billion empire had received his just deserts.,idiom,just deserts
I'm sick of paying a lot of money for rent in this town.,i'm sick of paying an arm and a leg for rent in this town.,idiom,an arm and a leg
A cruise that cost a lot.,a cruise that cost an arm and a leg.,idiom,an arm and a leg
A cruise that cost a lot of money.,a cruise that cost an arm and a leg.,idiom,an arm and a leg
I'm so tired after being on tour. My bed is a lovely sight.,i'm so tired after being on tour. my bed is a sight for sore eyes.,idiom,a sight for sore eyes
I'm so tired after being on tour. My bed is a welcomed sight.,i'm so tired after being on tour. my bed is a sight for sore eyes.,idiom,a sight for sore eyes
"Oh, am I glad to see you here! You're pleasant sight. I'm sure hungry. This meal is a pleasant sight.","oh, am i glad to see you here! you're a sight for sore eyes. i'm sure hungry. this meal is a sight for sore eyes.",idiom,a sight for sore eyes
"Oh, am I glad to see you here! You're lovely sight. I'm sure hungry. This meal is a lovely sight.","oh, am i glad to see you here! you're a sight for sore eyes. i'm sure hungry. this meal is a sight for sore eyes.",idiom,a sight for sore eyes
"Oh, am I glad to see you here! You're welcome sight. I'm sure hungry. This meal is a welcomed sight.","oh, am i glad to see you here! you're a sight for sore eyes. i'm sure hungry. this meal is a sight for sore eyes.",idiom,a sight for sore eyes
The sunset over the strait of Malacca is a pleasant sight.,the sunset over the strait of malacca is a sight for sore eyes.,idiom,a sight for sore eyes
The sunset over the strait of Malacca is a lovely sight.,the sunset over the strait of malacca is a sight for sore eyes.,idiom,a sight for sore eyes
The sunset over the strait of Malacca is a welcomed sight.,the sunset over the strait of malacca is a sight for sore eyes.,idiom,a sight for sore eyes
"you look great in your white dress, Milly!","you're a sight for sore eyes in your white dress, milly!",idiom,a sight for sore eyes
"you look lovely in your white dress, Milly!","you're a sight for sore eyes in your white dress, milly!",idiom,a sight for sore eyes
"you look gorgeous in your white dress, Milly!","you're a sight for sore eyes in your white dress, milly!",idiom,a sight for sore eyes
"Even though her crafts are beautiful, Susan only makes a small sum of money by selling them—it's her husband's job that pays the bills.","even though her crafts are beautiful, susan only makes pin money by selling them—it's her husband's job that pays the bills.",idiom,pin money
"Even though her crafts are beautiful, Susan only makes allowances by selling them—it's her husband's job that pays the bills.","even though her crafts are beautiful, susan only makes pin money by selling them—it's her husband's job that pays the bills.",idiom,pin money
"Even though her crafts are beautiful, Susan only makes stipends by selling them—it's her husband's job that pays the bills.","even though her crafts are beautiful, susan only makes pin money by selling them—it's her husband's job that pays the bills.",idiom,pin money
Pack a poncho because the outdoor concert is happening sunny or cloudy.,pack a poncho because the outdoor concert is happening rain or shine.,idiom,rain or shine
"Sunny or cloudy, you can count on me to be there!","rain or shine, you can count on me to be there!",idiom,rain or shine
Don't worry. I'll be there sunny or cloudy.,don't worry. i'll be there rain or shine.,idiom,rain or shine
We'll hold the picnic—sunny or cloudy.,we'll hold the picnic—rain or shine.,idiom,rain or shine
"He plays golf, come sunny or cloudy, every Monday.","he plays golf, come rain or shine, every monday.",idiom,rain or shine
"She runs six miles every morning, sunny or cloudy.","she runs six miles every morning, rain or shine.",idiom,rain or shine
"She runs six miles every morning, happy or sad.","she runs six miles every morning, rain or shine.",idiom,rain or shine
It says a lot about our society that teachers get paid little while some celebrities do little and get paid millions.,it says a lot about our society that teachers get paid next to nothing while some celebrities do next to nothing and get paid millions.,idiom,next to nothing
It says a lot about our society that teachers get paid nothing while some celebrities do nothing and get paid millions.,it says a lot about our society that teachers get paid next to nothing while some celebrities do next to nothing and get paid millions.,idiom,next to nothing
It says a lot about our society that teachers get paid close to nothing while some celebrities do close to nothing and get paid millions.,it says a lot about our society that teachers get paid next to nothing while some celebrities do next to nothing and get paid millions.,idiom,next to nothing
It says a lot about our society that teachers get paid nearly nothing while some celebrities do nearly nothing and get paid millions.,it says a lot about our society that teachers get paid next to nothing while some celebrities do next to nothing and get paid millions.,idiom,next to nothing
This car's worth little. It's full of rust.,this car's worth next to nothing. it's full of rust.,idiom,next to nothing
This car's worth nothing. It's full of rust.,this car's worth next to nothing. it's full of rust.,idiom,next to nothing
This car's worth close to nothing. It's full of rust.,this car's worth next to nothing. it's full of rust.,idiom,next to nothing
This car's worth nearly nothing. It's full of rust.,this car's worth next to nothing. it's full of rust.,idiom,next to nothing
You couldn't fit a piece of paper in the storage room now—all those boxes are stacked in there very closely.,you couldn't fit a piece of paper in the storage room now—all those boxes are stacked in there cheek by jowl.,idiom,cheek by jowl
You couldn't fit a piece of paper in the storage room now—all those boxes are stacked in there very tightly.,you couldn't fit a piece of paper in the storage room now—all those boxes are stacked in there cheek by jowl.,idiom,cheek by jowl
The pedestrians had to walk very close along the narrow streets.,the pedestrians had to walk cheek by jowl along the narrow streets.,idiom,cheek by jowl
The pedestrians had to walk very tightly along the narrow streets.,the pedestrians had to walk cheek by jowl along the narrow streets.,idiom,cheek by jowl
The two families lived very close in one house.,the two families lived cheek by jowl in one house.,idiom,cheek by jowl
The two families lived beside one another in one house.,the two families lived cheek by jowl in one house.,idiom,cheek by jowl
The houses of the rich and poor stood very close.,the houses of the rich and poor stood cheek by jowl.,idiom,cheek by jowl
The houses of the rich and poor stood beside one another.,the houses of the rich and poor stood cheek by jowl.,idiom,cheek by jowl
I'm probably going to be aching after falling down the steps this morning.,i'm probably going to be black and blue after falling down the steps this morning.,idiom,black and blue
I'm probably going to be sore after falling down the steps this morning.,i'm probably going to be black and blue after falling down the steps this morning.,idiom,black and blue
I'm probably going to be bruised after falling down the steps this morning.,i'm probably going to be black and blue after falling down the steps this morning.,idiom,black and blue
It's normal to feel aching right after you break up with someone.,it's normal to feel black and blue right after you break up with someone.,idiom,black and blue
It's normal to feel sore right after you break up with someone.,it's normal to feel black and blue right after you break up with someone.,idiom,black and blue
It's normal to feel bruised right after you break up with someone.,it's normal to feel black and blue right after you break up with someone.,idiom,black and blue
It's normal to feel battered right after you break up with someone.,it's normal to feel black and blue right after you break up with someone.,idiom,black and blue
It's normal to feel beat up right after you break up with someone.,it's normal to feel black and blue right after you break up with someone.,idiom,black and blue
I'm still aching from my divorce.,i'm still black and blue from my divorce.,idiom,black and blue
I'm still sore from my divorce.,i'm still black and blue from my divorce.,idiom,black and blue
I'm still bruised from my divorce.,i'm still black and blue from my divorce.,idiom,black and blue
What is that sore mark on your leg?,what is that black and blue mark on your leg?,idiom,black and blue
What is that bruise mark on your leg?,what is that black and blue mark on your leg?,idiom,black and blue
I didn't realize how clumsy I am. I was aching for three months.,i didn't realise how clumsy i am. i was black and blue for three months.,idiom,black and blue
I didn't realize how clumsy I am. I was sore for three months.,i didn't realise how clumsy i am. i was black and blue for three months.,idiom,black and blue
I didn't realize how clumsy I am. I was bruised for three months.,i didn't realise how clumsy i am. i was black and blue for three months.,idiom,black and blue
I didn't realize how clumsy I am. I was battered for three months.,i didn't realise how clumsy i am. i was black and blue for three months.,idiom,black and blue
I didn't realize how clumsy I am. I was beat up for three months.,i didn't realise how clumsy i am. i was black and blue for three months.,idiom,black and blue
I was released from hospital the next day with minor head and neck injuries. My face was bruised.,i was released from hospital the next day with minor head and neck injuries. my face was black and blue.,idiom,black and blue
I was released from hospital the next day with minor head and neck injuries. My face was battered.,i was released from hospital the next day with minor head and neck injuries. my face was black and blue.,idiom,black and blue
I was released from hospital the next day with minor head and neck injuries. My face was beat up.,i was released from hospital the next day with minor head and neck injuries. my face was black and blue.,idiom,black and blue
"It is not possible to get democrats and republicans to agree on a tax reform bill, we could bring the deficit down in no time.","Pigs might fly if we could just get democrats and republicans to agree on a tax reform bill, we could bring the deficit down in no time.",idiom,pigs might fly
"IIt is improbable to just get democrats and republicans to agree on a tax reform bill, we could bring the deficit down in no time.","Pigs might fly if we could just get democrats and republicans to agree on a tax reform bill, we could bring the deficit down in no time.",idiom,pigs might fly
"It is impossible to get democrats and republicans to agree on a tax reform bill, we could bring the deficit down in no time.","Pigs might fly if we could just get democrats and republicans to agree on a tax reform bill, we could bring the deficit down in no time.",idiom,pigs might fly
"It is unlikely to get democrats and republicans to agree on a tax reform bill, we could bring the deficit down in no time.","Pigs might fly if we could just get democrats and republicans to agree on a tax reform bill, we could bring the deficit down in no time.",idiom,pigs might fly
"`there's a chance he isn't involved in this, of course.' — `but unlikely.'","`there's a chance he isn't involved in this, of course.' — `and pigs might fly.'",idiom,pigs might fly
"`there's a chance he isn't involved in this, of course.' — `but not likely.'","`there's a chance he isn't involved in this, of course.' — `and pigs might fly.'",idiom,pigs might fly
"The ballet was sublime to watch, truly beautiful.","the ballet was sublime to watch, truly poetry in motion.",idiom,poetry in motion
"The ballet was sublime to watch, truly sublime.","the ballet was sublime to watch, truly poetry in motion.",idiom,poetry in motion
"The ballet was sublime to watch, truly majestic.","the ballet was sublime to watch, truly poetry in motion.",idiom,poetry in motion
"The ballet was sublime to watch, truly elegant.","the ballet was sublime to watch, truly poetry in motion.",idiom,poetry in motion
"Lola was off to a party, all dressed up.","lola was off to a party, all dressed up to the nines.",idiom,dressed up to the nines
"Take advantage of our huge summer sale, where you can earn up to $5,000 cash back. No conditions!","take advantage of our huge summer sale, where you can earn up to $5,000 cash back. no strings attached!",idiom,no strings attached
Beware of any deal that claims to come with no conditions.,beware of any deal that claims to come with no strings attached.,idiom,no strings attached
Beware of any deal that claims to come with no expectations.,beware of any deal that claims to come with no strings attached.,idiom,no strings attached
Beware of any deal that claims to come with no reservations.,beware of any deal that claims to come with no strings attached.,idiom,no strings attached
Beware of any deal that claims to come with no stipulations.,beware of any deal that claims to come with no strings attached.,idiom,no strings attached
"Robert's tech firm bankrupted last month, so I guess he's back to being in low standing with us again.","robert's tech firm bankrupted last month, so i guess he's back to sitting below the salt with us again.",idiom,below the salt
"I know it makes me a snob, but I just consider these big summer blockbusters to have rather poor reputation.","i know it makes me a snob, but i just consider these big summer blockbusters to be rather below the salt.",idiom,below the salt
"I know it makes me a snob, but I just consider these big summer blockbusters to have rather bad names.","i know it makes me a snob, but i just consider these big summer blockbusters to be rather below the salt.",idiom,below the salt
Sarah always goes out of her way to help everyone she can—she really is loving.,sarah always goes out of her way to help everyone she can—she really has a heart of gold.,idiom,heart of gold
Sarah always goes out of her way to help everyone she can—she really is caring.,sarah always goes out of her way to help everyone she can—she really has a heart of gold.,idiom,heart of gold
Sarah always goes out of her way to help everyone she can—she really is kind.,sarah always goes out of her way to help everyone she can—she really has a heart of gold.,idiom,heart of gold
Sarah always goes out of her way to help everyone she can—she really is compassionate.,sarah always goes out of her way to help everyone she can—she really has a heart of gold.,idiom,heart of gold
Sarah always goes out of her way to help everyone she can—she really is sympathetic.,sarah always goes out of her way to help everyone she can—she really has a heart of gold.,idiom,heart of gold
Sarah always goes out of her way to help everyone she can—she really is empathetic.,sarah always goes out of her way to help everyone she can—she really has a heart of gold.,idiom,heart of gold
Sarah always goes out of her way to help everyone she can—she really is merciful.,sarah always goes out of her way to help everyone she can—she really has a heart of gold.,idiom,heart of gold
Sarah always goes out of her way to help everyone she can—she really is altruistic.,sarah always goes out of her way to help everyone she can—she really has a heart of gold.,idiom,heart of gold
"He's a tough guy, but caring.","he's a tough guy, but with a heart of gold.",idiom,heart of gold
"He's a tough guy, but kind.","he's a tough guy, but with a heart of gold.",idiom,heart of gold
"He's a tough guy, but gentle.","he's a tough guy, but with a heart of gold.",idiom,heart of gold
"He's a tough guy, but compassionate.","he's a tough guy, but with a heart of gold.",idiom,heart of gold
"He's a tough guy, but sympathetic.","he's a tough guy, but with a heart of gold.",idiom,heart of gold
